CollectionTime,Value,ParameterName,UnitName,Location
2000-05-09 00:00:00,0.4,,ft,Cell2-LDS
2000-05-10 00:00:00,0.4,,ft,Cell2-LDS
2000-05-11 00:00:00,0.4,,ft,Cell2-LDS
2000-05-12 00:00:00,0.4,,ft,Cell2-LDS
2000-05-15 00:00:00,0.5,,ft,Cell2-LDS
2000-05-16 00:00:00,0.3,,ft,Cell2-LDS
1997-12-31 00:00:00,0.69,,ft,Cell2-LDS
2000-05-17 00:00:00,0.4,,ft,Cell2-LDS
2000-05-18 00:00:00,0.4,,ft,Cell2-LDS
2000-05-19 00:00:00,0.4,,ft,Cell2-LDS
2000-05-22 00:00:00,0.4,,ft,Cell2-LDS
2000-05-23 00:00:00,0.4,,ft,Cell2-LDS
2000-05-24 00:00:00,0.6,,ft,Cell2-LDS
2000-05-25 00:00:00,0.3,,ft,Cell2-LDS
2000-05-26 00:00:00,0.4,,ft,Cell2-LDS
2000-05-30 00:00:00,0.3,,ft,Cell2-LDS
2000-05-31 00:00:00,0.3,,ft,Cell2-LDS
1998-01-05 00:00:00,0.64,,ft,Cell2-LDS
2000-06-01 00:00:00,0.4,,ft,Cell2-LDS
2000-06-02 00:00:00,0.4,,ft,Cell2-LDS
2000-06-06 00:00:00,0.6,,ft,Cell2-LDS
2000-06-07 00:00:00,0.3,,ft,Cell2-LDS
2000-06-08 00:00:00,0.3,,ft,Cell2-LDS
2000-06-09 00:00:00,0.3,,ft,Cell2-LDS
2000-06-12 00:00:00,0.3,,ft,Cell2-LDS
2000-06-13 00:00:00,0.2,,ft,Cell2-LDS
2000-06-14 00:00:00,0.4,,ft,Cell2-LDS
2000-06-15 00:00:00,0.4,,ft,Cell2-LDS
1998-01-06 00:00:00,0.67,,ft,Cell2-LDS
2000-06-16 00:00:00,0.4,,ft,Cell2-LDS
2000-06-19 00:00:00,0.3,,ft,Cell2-LDS
2000-06-20 00:00:00,0.3,,ft,Cell2-LDS
2000-06-21 00:00:00,0.5,,ft,Cell2-LDS
2000-06-22 00:00:00,0.3,,ft,Cell2-LDS
2000-06-23 00:00:00,0.3,,ft,Cell2-LDS
2000-06-24 00:00:00,0.3,,ft,Cell2-LDS
2000-06-26 00:00:00,0.4,,ft,Cell2-LDS
2000-06-27 00:00:00,0.4,,ft,Cell2-LDS
2000-06-28 00:00:00,0.4,,ft,Cell2-LDS
1998-01-07 00:00:00,0.7,,ft,Cell2-LDS
2000-06-29 00:00:00,0.4,,ft,Cell2-LDS
2000-06-30 00:00:00,0.4,,ft,Cell2-LDS
2000-04-03 00:00:00,0.4,,ft,Cell2-PS
2000-04-04 00:00:00,0.4,,ft,Cell2-PS
2000-04-05 00:00:00,0.4,,ft,Cell2-PS
2000-04-06 00:00:00,0.4,,ft,Cell2-PS
2000-04-07 00:00:00,0.4,,ft,Cell2-PS
2000-04-10 00:00:00,0.4,,ft,Cell2-PS
2000-04-11 00:00:00,0.4,,ft,Cell2-PS
2000-04-12 00:00:00,0.4,,ft,Cell2-PS
1998-01-08 00:00:00,0.53,,ft,Cell2-LDS
2000-04-13 00:00:00,0.4,,ft,Cell2-PS
2000-04-14 00:00:00,0.4,,ft,Cell2-PS
2000-04-17 00:00:00,0.4,,ft,Cell2-PS
2000-04-18 00:00:00,0.4,,ft,Cell2-PS
2000-04-19 00:00:00,0.4,,ft,Cell2-PS
2000-04-20 00:00:00,0.4,,ft,Cell2-PS
2000-04-24 00:00:00,0.4,,ft,Cell2-PS
2000-04-25 00:00:00,0.4,,ft,Cell2-PS
2000-04-26 00:00:00,0.4,,ft,Cell2-PS
2000-04-27 00:00:00,0.4,,ft,Cell2-PS
1996-12-06 00:00:00,1.86,,ft,Cell1-LCS
1998-01-09 00:00:00,0.56,,ft,Cell2-LDS
2000-04-28 00:00:00,0.4,,ft,Cell2-PS
2000-05-01 00:00:00,0.4,,ft,Cell2-PS
2000-05-02 00:00:00,0.6,,ft,Cell2-PS
2000-05-03 00:00:00,0.4,,ft,Cell2-PS
2000-05-04 00:00:00,0.4,,ft,Cell2-PS
2000-05-05 00:00:00,0.4,,ft,Cell2-PS
2000-05-08 00:00:00,0.4,,ft,Cell2-PS
2000-05-09 00:00:00,0.4,,ft,Cell2-PS
2000-05-10 00:00:00,0.4,,ft,Cell2-PS
2000-05-11 00:00:00,0.4,,ft,Cell2-PS
1998-01-12 00:00:00,0.63,,ft,Cell2-LDS
2000-05-12 00:00:00,0.3,,ft,Cell2-PS
2000-05-15 00:00:00,0.3,,ft,Cell2-PS
2000-05-16 00:00:00,0.4,,ft,Cell2-PS
2000-05-17 00:00:00,0.4,,ft,Cell2-PS
2000-05-18 00:00:00,0.4,,ft,Cell2-PS
2000-05-19 00:00:00,0.2,,ft,Cell2-PS
2000-05-22 00:00:00,0.2,,ft,Cell2-PS
2000-05-23 00:00:00,0.4,,ft,Cell2-PS
2000-05-24 00:00:00,0.6,,ft,Cell2-PS
